  Year,   Mon,   Day,   HRU,              Precip,               Irrig,                Seep,                 PET,                  ET,               WeirH,              Wtrdep,               WeirQ,                  SW,              Sedcon,              SedYld,              NO3Con,              NO3Yld,                 LAI,                 SALT
  2017,     1,     1,     1,                 0.1,                 0.0,                 0.1,                 0.7,                 0.3,                 0.0,                 0.0,                 0.0,                17.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,     2,     1,                 0.0,                 0.0,                 0.0,                 0.4,                 0.2,                 0.0,                 0.0,                 0.0,                17.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,     3,     1,                 0.1,                 0.0,                 0.1,                 0.8,                 0.3,                 0.0,                 0.0,                 0.0,                16.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,     4,     1,                 0.0,                 0.0,                 0.0,                 1.5,                 0.6,                 0.0,                 0.0,                 0.0,                16.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,     5,     1,                 0.0,                 0.0,                 0.0,                 1.2,                 0.5,                 0.0,                 0.0,                 0.0,                15.7,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,     6,     1,                 0.0,                 0.0,                 0.0,                 0.6,                 0.2,                 0.0,                 0.0,                 0.0,                15.4,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,     7,     1,                 0.1,                 0.0,                 0.1,                 0.7,                 0.2,                 0.0,                 0.0,                 0.0,                15.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,     8,     1,                 0.1,                 0.0,                 0.1,                 0.7,                 0.2,                 0.0,                 0.0,                 0.0,                15.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,     9,     1,                 0.1,                 0.0,                 0.1,                 0.7,                 0.2,                 0.0,                 0.0,                 0.0,                15.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    10,     1,                 0.3,                 0.0,                 0.3,                 1.3,                 0.5,                 0.0,                 0.0,                 0.0,                14.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    11,     1,                 0.0,                 0.0,                 0.0,                 1.3,                 0.5,                 0.0,                 0.0,                 0.0,                14.4,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    12,     1,                 0.0,                 0.0,                 0.0,                 1.7,                 0.6,                 0.0,                 0.0,                 0.0,                13.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    13,     1,                 0.0,                 0.0,                 0.0,                 2.8,                 0.8,                 0.0,                 0.0,                 0.0,                12.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    14,     1,                 0.0,                 0.0,                 0.0,                 2.9,                 0.7,                 0.0,                 0.0,                 0.0,                12.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    15,     1,                 0.0,                 0.0,                 0.0,                 3.3,                 0.8,                 0.0,                 0.0,                 0.0,                11.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    16,     1,                 0.0,                 0.0,                 0.0,                 3.2,                 0.7,                 0.0,                 0.0,                 0.0,                10.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    17,     1,                 7.0,                 0.0,                 2.4,                 1.2,                 0.2,                 0.0,                 0.0,                 0.1,                12.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    18,     1,                 0.0,                 0.0,                 0.0,                 1.0,                 0.7,                 0.0,                 0.0,                 0.0,                12.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    19,     1,                49.0,                 0.0,                 2.4,                 1.1,                 0.4,                 0.0,                 0.0,                 3.3,                14.2,                 0.0,                 0.8,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    20,     1,                26.4,                 0.0,                 2.4,                 0.2,                 0.2,                 0.0,                 0.0,                 1.2,                16.5,                 0.0,                 0.3,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    21,     1,                 5.0,                 0.0,                 2.4,                 1.0,                 0.8,                 0.0,                 0.0,                 0.0,                18.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    22,     1,                 2.0,                 0.0,                 2.0,                 0.9,                 0.8,                 0.0,                 0.0,                 0.0,                19.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    23,     1,                 0.0,                 0.0,                 0.0,                 0.8,                 0.7,                 0.0,                 0.0,                 0.0,                18.6,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    24,     1,                 0.0,                 0.0,                 0.0,                 1.0,                 0.5,                 0.0,                 0.0,                 0.0,                18.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    25,     1,                 0.0,                 0.0,                 0.0,                 1.5,                 0.7,                 0.0,                 0.0,                 0.0,                17.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    26,     1,                 0.0,                 0.0,                 0.0,                 0.9,                 0.4,                 0.0,                 0.0,                 0.0,                16.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    27,     1,                10.0,                 0.0,                 2.4,                 1.1,                 0.5,                 0.0,                 0.0,                 0.2,                18.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    28,     1,                 0.0,                 0.0,                 0.0,                 2.9,                 1.8,                 0.0,                 0.0,                 0.0,                17.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    29,     1,                 0.0,                 0.0,                 0.0,                 1.1,                 0.5,                 0.0,                 0.0,                 0.0,                16.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    30,     1,                 0.0,                 0.0,                 0.0,                 1.7,                 0.6,                 0.0,                 0.0,                 0.0,                15.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     1,    31,     1,                 0.0,                 0.0,                 0.0,                 0.9,                 0.3,                 0.0,                 0.0,                 0.0,                15.6,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,     1,     1,                 0.0,                 0.0,                 0.0,                 1.3,                 0.4,                 0.0,                 0.0,                 0.0,                15.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,     2,     1,                 3.1,                 0.0,                 2.4,                 0.5,                 0.1,                 0.0,                 0.0,                 0.0,                17.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,     3,     1,                 0.0,                 0.0,                 0.0,                 3.2,                 1.9,                 0.0,                 0.0,                 0.0,                15.6,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,     4,     1,                 0.0,                 0.0,                 0.0,                 3.9,                 1.3,                 0.0,                 0.0,                 0.0,                14.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,     5,     1,                 1.0,                 0.0,                 1.0,                 5.0,                 1.4,                 0.0,                 0.0,                 0.0,                13.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,     6,     1,                 0.0,                 0.0,                 0.0,                 4.9,                 2.0,                 0.0,                 0.0,                 0.0,                11.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,     7,     1,                 0.0,                 0.0,                 0.0,                 4.5,                 1.1,                 0.0,                 0.0,                 0.0,                10.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,     8,     1,                 0.0,                 0.0,                 0.0,                 3.9,                 0.8,                 0.0,                 0.0,                 0.0,                10.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,     9,     1,                 0.0,                 0.0,                 0.0,                 2.3,                 0.4,                 0.0,                 0.0,                 0.0,                 9.6,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    10,     1,                 0.0,                 0.0,                 0.0,                 1.2,                 0.2,                 0.0,                 0.0,                 0.0,                 9.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    11,     1,                 0.1,                 0.0,                 0.1,                 0.7,                 0.1,                 0.0,                 0.0,                 0.0,                 9.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    12,     1,                 0.0,                 0.0,                 0.0,                 1.0,                 0.2,                 0.0,                 0.0,                 0.0,                 9.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    13,     1,                 3.9,                 0.0,                 2.4,                 0.9,                 0.2,                 0.0,                 0.0,                 0.0,                11.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    14,     1,                 0.0,                 0.0,                 0.0,                 1.9,                 1.2,                 0.0,                 0.0,                 0.0,                10.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    15,     1,                 0.0,                 0.0,                 0.0,                 0.9,                 0.2,                 0.0,                 0.0,                 0.0,                 9.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    16,     1,                 0.0,                 0.0,                 0.0,                 1.2,                 0.3,                 0.0,                 0.0,                 0.0,                 9.6,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    17,     1,                 0.1,                 0.0,                 0.1,                 1.2,                 0.3,                 0.0,                 0.0,                 0.0,                 9.4,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    18,     1,                 0.1,                 0.0,                 0.1,                 1.5,                 0.3,                 0.0,                 0.0,                 0.0,                 9.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    19,     1,                 0.0,                 0.0,                 0.0,                 1.5,                 0.4,                 0.0,                 0.0,                 0.0,                 8.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    20,     1,                 0.1,                 0.0,                 0.1,                 1.8,                 0.3,                 0.0,                 0.0,                 0.0,                 8.6,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    21,     1,                 0.1,                 0.0,                 0.1,                 1.8,                 0.4,                 0.0,                 0.0,                 0.0,                 8.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    22,     1,                 0.0,                 0.0,                 0.0,                 1.6,                 0.4,                 0.0,                 0.0,                 0.0,                 8.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    23,     1,                 0.0,                 0.0,                 0.0,                 1.3,                 0.2,                 0.0,                 0.0,                 0.0,                 7.7,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    24,     1,                 8.0,                 0.0,                 2.4,                 0.8,                 0.1,                 0.0,                 0.0,                 0.1,                10.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    25,     1,                 0.1,                 0.0,                 0.1,                 1.7,                 0.9,                 0.0,                 0.0,                 0.0,                 9.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    26,     1,                 0.0,                 0.0,                 0.0,                 1.8,                 0.5,                 0.0,                 0.0,                 0.0,                 8.7,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    27,     1,                 0.1,                 0.0,                 0.1,                 3.5,                 0.8,                 0.0,                 0.0,                 0.0,                 8.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     2,    28,     1,                 0.0,                 0.0,                 0.0,                 3.5,                 0.7,                 0.0,                 0.0,                 0.0,                 7.4,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,     1,     1,                 0.0,                 0.0,                 0.0,                 3.3,                 0.5,                 0.0,                 0.0,                 0.0,                 6.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,     2,     1,                 0.0,                 0.0,                 0.0,                 2.3,                 0.3,                 0.0,                 0.0,                 0.0,                 6.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,     3,     1,                 0.8,                 0.0,                 0.8,                 1.2,                 0.2,                 0.0,                 0.0,                 0.0,                 7.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,     4,     1,                 0.0,                 0.0,                 0.0,                 3.3,                 1.1,                 0.0,                 0.0,                 0.0,                 6.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,     5,     1,                 0.0,                 0.0,                 0.0,                 3.2,                 0.6,                 0.0,                 0.0,                 0.0,                 5.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,     6,     1,                 0.0,                 0.0,                 0.0,                 5.0,                 0.7,                 0.0,                 0.0,                 0.0,                 4.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,     7,     1,                 0.0,                 0.0,                 0.0,                 5.3,                 0.6,                 0.0,                 0.0,                 0.0,                 4.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,     8,     1,                 0.0,                 0.0,                 0.0,                 3.4,                 0.4,                 0.0,                 0.0,                 0.0,                 3.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,     9,     1,                 0.0,                 0.0,                 0.0,                 3.6,                 0.4,                 0.0,                 0.0,                 0.0,                 3.4,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    10,     1,                 0.0,                 0.0,                 0.0,                 3.6,                 0.4,                 0.0,                 0.0,                 0.0,                 3.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    11,     1,                 0.0,                 0.0,                 0.0,                 2.5,                 0.3,                 0.0,                 0.0,                 0.0,                 2.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    12,     1,                14.9,                 0.0,                 2.4,                 2.5,                 0.3,                 0.0,                 0.0,                 0.5,                 4.9,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    13,     1,                42.7,                 0.0,                 2.4,                 0.3,                 0.2,                 0.0,                 0.0,                 2.7,                 7.1,                 0.0,                 0.7,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    14,     1,                 0.0,                 0.0,                 0.0,                 2.7,                 1.2,                 0.0,                 0.0,                 0.0,                 6.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    15,     1,                 0.0,                 0.0,                 0.0,                 2.7,                 0.5,                 0.0,                 0.0,                 0.0,                 5.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    16,     1,                 0.0,                 0.0,                 0.0,                 2.6,                 0.4,                 0.0,                 0.0,                 0.0,                 5.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    17,     1,                 0.0,                 0.0,                 0.0,                 2.5,                 0.3,                 0.0,                 0.0,                 0.0,                 4.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    18,     1,                 0.0,                 0.0,                 0.0,                 3.0,                 0.4,                 0.0,                 0.0,                 0.0,                 4.4,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    19,     1,                 0.0,                 0.0,                 0.0,                 2.9,                 0.3,                 0.0,                 0.0,                 0.0,                 4.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    20,     1,                 0.0,                 0.0,                 0.0,                 2.9,                 0.3,                 0.0,                 0.0,                 0.0,                 3.7,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    21,     1,                 0.1,                 0.0,                 0.1,                 2.4,                 0.3,                 0.0,                 0.0,                 0.0,                 3.6,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    22,     1,                 0.0,                 0.0,                 0.0,                 5.1,                 0.6,                 0.0,                 0.0,                 0.0,                 3.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    23,     1,                 0.0,                 0.0,                 0.0,                 4.3,                 0.5,                 0.0,                 0.0,                 0.0,                 2.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    24,     1,                 0.0,                 0.0,                 0.0,                 2.3,                 0.2,                 0.0,                 0.0,                 0.0,                 2.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    25,     1,                 0.0,                 0.0,                 0.0,                 3.5,                 0.3,                 0.0,                 0.0,                 0.0,                 1.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    26,     1,                 0.0,                 0.0,                 0.0,                 2.6,                 0.2,                 0.0,                 0.0,                 0.0,                 1.7,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    27,     1,                 1.0,                 0.0,                 1.0,                 3.5,                 0.3,                 0.0,                 0.0,                 0.0,                 2.4,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    28,     1,                 0.0,                 0.0,                 0.0,                 3.3,                 1.1,                 0.0,                 0.0,                 0.0,                 1.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    29,     1,                 0.0,                 0.0,                 0.0,                 3.7,                 0.5,                 0.0,                 0.0,                 0.0,                 0.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    30,     1,                 0.0,                 0.0,                 0.0,                 3.5,                 0.3,                 0.0,                 0.0,                 0.0,                 0.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     3,    31,     1,                 0.0,                 0.0,                 0.0,                 3.0,                 0.3,                 0.0,                 0.0,                 0.0,                 0.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,     1,     1,                 0.0,                 0.0,                 0.0,                 4.6,                 0.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,     2,     1,                 0.0,                 0.0,                 0.0,                 4.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,     3,     1,                 0.0,                 0.0,                 0.0,                 3.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,     4,     1,                 0.0,                 0.0,                 0.0,                 3.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,     5,     1,                 0.0,                 0.0,                 0.0,                 3.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,     6,     1,                 0.0,                 0.0,                 0.0,                 3.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,     7,     1,                 0.0,                 0.0,                 0.0,                 3.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,     8,     1,                 0.0,                 0.0,                 0.0,                 3.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,     9,     1,                 0.1,                 0.0,                 0.1,                 3.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    10,     1,                 0.1,                 0.0,                 0.1,                 3.8,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    11,     1,                 0.0,                 0.0,                 0.0,                 4.7,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    12,     1,                 0.0,                 0.0,                 0.0,                 4.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    13,     1,                 0.0,                 0.0,                 0.0,                 4.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    14,     1,                 0.0,                 0.0,                 0.0,                 4.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    15,     1,                 0.0,                 0.0,                 0.0,                 3.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    16,     1,                 0.0,                 0.0,                 0.0,                 3.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    17,     1,                 0.1,                 0.0,                 0.1,                 3.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    18,     1,                 0.0,                 0.0,                 0.0,                 3.1,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    19,     1,                 0.1,                 0.0,                 0.1,                 2.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    20,     1,                 0.0,                 0.0,                 0.0,                 2.6,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    21,     1,                 0.0,                 0.0,                 0.0,                 3.6,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    22,     1,                 0.0,                 0.0,                 0.0,                 3.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    23,     1,                 0.0,                 0.0,                 0.0,                 4.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    24,     1,                 0.0,                 0.0,                 0.0,                 4.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    25,     1,                 7.2,                 0.0,                 2.4,                 3.3,                 0.0,                 0.0,                 0.0,                 0.1,                 2.4,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    26,     1,                 0.3,                 0.0,                 0.3,                 3.6,                 1.1,                 0.0,                 0.0,                 0.0,                 1.6,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    27,     1,                23.0,                 0.0,                 2.4,                 0.5,                 0.1,                 0.0,                 0.0,                 1.0,                 3.9,                 0.0,                 0.3,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    28,     1,                 0.0,                 0.0,                 0.0,                 1.3,                 0.6,                 0.0,                 0.0,                 0.0,                 3.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    29,     1,                 0.0,                 0.0,                 0.0,                 1.4,                 0.3,                 0.0,                 0.0,                 0.0,                 3.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     4,    30,     1,                 0.0,                 0.0,                 0.0,                 5.3,                 0.8,                 0.0,                 0.0,                 0.0,                 2.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     5,     1,     1,                 0.0,                 0.0,                 0.0,                 5.3,                 0.6,                 0.0,                 0.0,                 0.0,                 1.6,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     5,     2,     1,                 0.0,                 0.0,                 0.0,                 4.5,                 0.4,                 0.0,                 0.0,                 0.0,                 1.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     5,     3,     1,                 0.0,                 0.0,                 0.0,                 4.3,                 0.4,                 0.0,                 0.0,                 0.0,                 0.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     5,     4,     1,                 0.0,                 0.0,                 0.0,                 4.1,                 0.3,                 0.0,                 0.0,                 0.0,                 0.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     5,     5,     1,                 0.0,                 0.0,                 0.0,                 3.2,                 0.3,                 0.0,                 0.0,                 0.0,                 0.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     5,     6,     1,                 0.0,                 0.0,                 0.0,                 7.4,                 0.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     5,     7,     1,                 0.0,                20.0,                 2.4,                 5.0,                 0.0,                90.0,                17.6,                17.6,                 2.4,                 0.0,                 3.7,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     5,     8,     1,                 0.0,                 2.4,                 2.4,                 4.8,                 3.8,                90.0,                13.8,                13.8,                 4.8,                -1.3,              7513.7,                 0.0,                 0.0,                 0.0,                 0.0,
  2017,     5,     9,     1,                 0.0,               106.2,                 2.4,                 4.2,                 3.4,                90.0,                90.0,                91.2,                 7.2,                -1.3,                 0.0,                -0.4,                28.2,                 0.0,               516.6,
  2017,     5,    10,     1,                 0.0,                30.0,                 2.4,                 4.6,                 3.7,                90.0,                90.0,                91.2,                 9.6,                -1.3,                 0.0,                -0.1,                 8.4,                 0.0,               397.2,
